"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferType","Param: cipher","Param: messageSize","Param: sslProvider"
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,239103.930549,4406.073954,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,64,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,649014.305321,11632.072229,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,64,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,214845.596196,5545.239910,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,128,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,510302.474774,5938.851673,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,128,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,153338.337599,1510.182983,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,512,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,298220.295234,3620.167698,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,512,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,108117.379358,1049.558103,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,1024,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,221234.372918,2153.820484,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,1024,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,39050.544987,380.090092,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4096,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,84152.855675,1222.717899,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4096,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,451558.765472,4659.446753,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,64,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,1403399.074574,52400.330020,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,64,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,308934.129393,3331.149836,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,128,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,1378807.266831,13794.640390,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,128,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,107368.910970,655.588998,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,512,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,1132952.243970,20469.656171,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,512,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,57027.013109,572.730163,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,1024,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,979403.610839,16299.039363,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,1024,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,15546.238275,162.353127,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,4096,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,452299.057181,5688.585999,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,4096,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,240235.556583,2130.130288,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,64,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,777926.324675,5598.074300,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,64,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,221983.059441,2006.677364,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,128,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,587658.634178,11351.481036,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,128,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,152053.950021,1489.906836,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,512,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,322995.104623,6108.723266,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,512,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,105875.339252,870.044391,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,1024,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,233594.213952,3515.398998,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,1024,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,38297.970767,385.807389,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4096,JDK
"io.netty.microbench.handler.ssl.SslEngineUnwrapBenchmark.unwrap","thrpt",1,20,88437.630747,1092.244401,"ops/s",DIRECT,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4096,OPENSSL
