"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferType","Param: cipher","Param: messageSize","Param: sslProvider"
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,415596.499881,3321.918732,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,64,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,463615.546105,8316.058832,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,64,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,354197.528353,3882.610169,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,128,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,427026.968955,4809.132841,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,128,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,191554.486710,1689.092789,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,512,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,306499.483754,3411.991796,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,512,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,118143.636069,1064.215157,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,1024,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,216551.791534,3909.984759,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,1024,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,35756.943786,300.388223,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4096,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,82349.739860,747.670293,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4096,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,488294.857725,4259.294773,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,64,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,1428162.135445,19687.171652,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,64,OPENSSL
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,332575.236866,3429.448077,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,128,JDK
"io.netty.microbench.handler.ssl.SslEngineWrapBenchmark.wrap","thrpt",1,20,1415937.492871,13414.111152,"ops/s",HEAP,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,128,OPENSSL
